song_id,song_name,genre
1,420 (Blaze Up) by Snoop Dogg,rap
2,60 Seconds by Bone Thugs-N-Harmony,rap
3,A Day in the Life - Live by Jeff Beck,rock
4,Abigail by King Diamond,rock
5,Albert's Shuffle by Mike Bloomfield,rock
6,All Three by Noah Cyrus,pop
7,American Pie by Don McLean,rock
8,BLOOD. by Kendrick Lamar,rap
9,Babe I'm Gonna Leave You - 1990 Remaster by Led Zeppelin,rock
10,Batman by Jaden,rap
11,Because I Got High - Extended Version by Afroman,rap
12,Black Beatles - Madsonik Remix by Rae Sremmurd,rap
13,Black Magic Woman - Single Version by Santana,rock
14,Blinding Lights by The Weeknd,pop
15,Blitzkrieg Bop - 2016 Remaster by Ramones,rock
16,Blue Notes by Meek Mill,rap
17,Bohemian Rhapsody - Remastered 2011 by Queen,rock
18,Bohemian Rhapsody by Queen,rock
19,Catch The Rainbow by Rainbow,rock
20,Cause We've Ended as Lovers by Jeff Beck,rock
21,Celebrate (feat. Travis Scott & Post Malone) by DJ Khaled,rap
22,Confirmation by Justin Bieber,pop
23,Damn It Feels Good to Be a Gangsta by Geto Boys,rap
24,Down by the Seaside - 1993 Remaster by Led Zeppelin,rock
25,Dynamite by BTS,pop
26,Earth by Sleeping At Last,pop
27,Eruption - 2015 Remaster by Van Halen,rock
28,F With U (feat. Ty Dolla $ign) by Kid Ink,rap
29,Fine Line by Harry Styles,pop
30,Flicker by Niall Horan,pop
31,Fly Like An Eagle by Steve Miller Band,rock
32,Forever Young by Lil Yachty,rap
33,Girl With The Tattoo Enter.lewd by Miguel,rap
34,God's Plan by Drake,rap
35,HUMBLE. by Kendrick Lamar,rap
36,HUNNIDDOLLA by MadeinTYO,rap
37,Happy With You by Paul McCartney,rock
38,Hearing by Sleeping At Last,pop
39,Heartbreaker - 1990 Remaster by Led Zeppelin,rock
40,Heaven and Hell - 2008 Remaster by Black Sabbath,rock
41,Hell & Back (Remix) [feat. Machine Gun Kelly] by Kid Ink,rap
42,Hell & Back by Kid Ink,rap
43,Hey Joe by Jimi Hendrix,rock
44,Hey Lover by LL Cool J,rap
45,Hide & Seek by Amber Run,pop
46,Highway to Hell by AC/DC,rock
47,Hits from the Bong by Cypress Hill,rap
48,Hookah by Tyga,rap
49,How Long Will I Love You - Bonus Track by Ellie Goulding,pop
50,I Got Five On It Remix by Spice 1,rap
51,I'll Be Missing You (feat. Faith Evans & 112) by Diddy,rap
52,I'm a Believer - Alternate Mix; 2006 Remaster by The Monkees,rock
53,"IFHY (feat. Pharrell) by Tyler, The Creator",rap
54,If You Want Love by NF,rap
55,Iron Man by Black Sabbath,rock
56,Jessica by Allman Brothers Band,rock
57,Kozmic Blues by Janis Joplin,rock
58,Little Lies by ODIE,rap
59,Love Don't Change by Jeremih,rap
60,Low Life (feat. The Weeknd) by Future,pop
61,Maggot Brain by Funkadelic,rock
62,Marvins Room by Drake,rap
63,Me by The 1975,pop
64,My Tears Are Becoming A Sea by M83,pop
65,Never Be Alone / Hey There Delilah - Live Medley by Shawn Mendes,pop
66,No Favors by Big Sean,rap
67,No Ordinary by Labrinth,pop
68,No Quarter - 1990 Remaster by Led Zeppelin,rock
69,Nothing Even Matters (feat. D'Angelo) by Ms. Lauryn Hill,rap
70,Oblivion by Bastille,pop
71,Open Arms by Journey,rock
72,Other Side Of The Game by Erykah Badu,rap
73,Paparazzi by Xzibit,rap
74,Patiently Waiting by 50 Cent,rap
75,Pause 4 Porno by Dr. Dre,rap
76,Peaches by Justin Bieber,pop
77,Perfectly Wrong by Shawn Mendes,pop
78,Polo Socks by Oliver Francis,rap
79,"RUNNING OUT OF TIME by Tyler, The Creator",rap
80,Rap God by Eminem,rap
81,"Rap Saved Me by 21 Savage, Offset, Metro Boomin",rap
82,"Ready or Not by Fugees, Ms. Lauryn Hill, Wyclef Jean",rap
83,Rock Me Baby by Johnny Winter,rock
84,Sa Susunod na Habang Buhay by Ben&Ben,pop
85,Same Love - feat. Mary Lambert by Macklemore & Ryan Lewis,rap
86,Saturn by Sleeping At Last,pop
87,Selfish (feat. Rihanna) by Future,rap
88,She Knows This by Kid Cudi,rap
89,She's Always a Woman by Billy Joel,rock
90,Sober by G-Eazy,rap
